d,f,n,Vc,Mz,Fz,,,,,,
4,0.06,450,5.65,1.0408,254.15,0.017367284,2.405090114,0.602059991,-1.22184875,2.653212514,0.752422378
4,0.06,500,6.28,1.01563,255.798,0.006735521,2.407897145,0.602059991,-1.22184875,2.698970004,0.798179868
4,0.06,550,6.91,1.0405,255.341,0.017242085,2.407120555,0.602059991,-1.22184875,2.740362689,0.839572554
4,0.06,600,7.54,1.25092,251.282,0.097229536,2.40016138,0.602059991,-1.22184875,2.77815125,0.877361114
4,0.07,450,5.65,1.55029,281.891,0.190412946,2.45008121,0.602059991,-1.15490196,2.653212514,0.752422378
4,0.07,500,6.28,1.5213,285.065,0.182214865,2.454943898,0.602059991,-1.15490196,2.698970004,0.798179868
4,0.07,550,6.91,1.57265,279.633,0.196632079,2.446588422,0.602059991,-1.15490196,2.740362689,0.839572554
4,0.07,600,7.54,1.81076,282.837,0.257860892,2.451536222,0.602059991,-1.15490196,2.77815125,0.877361114
4,0.08,450,5.65,2.81738,308.868,0.449845427,2.489772916,0.602059991,-1.096910013,2.653212514,0.752422378
4,0.08,500,6.28,2.07504,314.331,0.317026473,2.497387214,0.602059991,-1.096910013,2.698970004,0.798179868
4,0.08,550,6.91,1.72928,311.584,0.237865319,2.493575148,0.602059991,-1.096910013,2.740362689,0.839572554
4,0.08,600,7.54,1.55159,299.927,0.190776972,2.477015564,0.602059991,-1.096910013,2.77815125,0.877361114
4,0.09,450,5.65,1.56265,329.376,0.193861716,2.517691951,0.602059991,-1.045757491,2.653212514,0.752422378
4,0.09,500,6.28,1.2838,327.057,0.108497371,2.514623449,0.602059991,-1.045757491,2.698970004,0.798179868
4,0.09,550,6.91,0.952988,285.553,-0.020912568,2.455686727,0.602059991,-1.045757491,2.740362689,0.839572554
4,0.09,600,7.54,0.812683,293.457,-0.090078825,2.467544473,0.602059991,-1.045757491,2.77815125,0.877361114
4,0.1,450,5.65,0.857849,318.939,-0.066589151,2.503707628,0.602059991,-1,2.653212514,0.752422378
4,0.1,500,6.28,1.06972,318.848,0.029270116,2.503583697,0.602059991,-1,2.698970004,0.798179868
4,0.1,550,6.91,1.03844,317.23,0.016381409,2.501374251,0.602059991,-1,2.740362689,0.839572554
4,0.1,600,7.54,1.19827,327.82,0.078554686,2.515635446,0.602059991,-1,2.77815125,0.877361114
6,0.06,500,9.42,6.76125,363.159,0.830026994,2.560096812,0.77815125,-1.22184875,2.698970004,0.974271127
6,0.06,550,10.37,6.37962,367.34,0.804794811,2.565068222,0.77815125,-1.22184875,2.740362689,1.015663813
6,0.06,600,11.31,6.48857,359.863,0.812148994,2.556137196,0.77815125,-1.22184875,2.77815125,1.053452373
6,0.07,450,8.48,7.17888,396.82,0.856056694,2.598593553,0.77815125,-1.15490196,2.653212514,0.928513637
6,0.07,500,9.42,7.89024,409.515,0.897090213,2.612269814,0.77815125,-1.15490196,2.698970004,0.974271127
6,0.07,550,10.37,8.81866,421.051,0.945402599,2.624334703,0.77815125,-1.15490196,2.740362689,1.015663813
6,0.07,600,11.31,9.58237,415.222,0.981472936,2.618280356,0.77815125,-1.15490196,2.77815125,1.053452373
6,0.08,450,8.48,8.77556,451.935,0.94327484,2.655075976,0.77815125,-1.096910013,2.653212514,0.928513637
6,0.08,500,9.42,3.06732,385,0.486759086,2.585609605,0.77815125,-1.096910013,2.698970004,0.974271127
6,0.08,550,10.37,3.02071,402.496,0.480109033,2.604761569,0.77815125,-1.096910013,2.740362689,1.015663813
6,0.08,600,11.31,3.13736,405.457,0.496564355,2.607944803,0.77815125,-1.096910013,2.77815125,1.053452373
6,0.09,450,8.48,4.08745,454.803,0.611452453,2.657823321,0.77815125,-1.045757491,2.653212514,0.928513637
6,0.09,500,9.42,5.94009,450.775,0.773793025,2.653959822,0.77815125,-1.045757491,2.698970004,0.974271127
6,0.09,550,10.37,4.38057,435.059,0.641530625,2.638548157,0.77815125,-1.045757491,2.740362689,1.015663813
6,0.09,600,11.31,4.68094,441.193,0.670333074,2.644628613,0.77815125,-1.045757491,2.77815125,1.053452373
6,0.1,450,8.48,4.49081,489.258,0.652324681,2.689537936,0.77815125,-1,2.653212514,0.928513637
6,0.1,500,9.42,4.51683,490.906,0.654833745,2.69099834,0.77815125,-1,2.698970004,0.974271127
6,0.1,550,10.37,3.68179,472.839,0.566059014,2.67471329,0.77815125,-1,2.740362689,1.015663813
6,0.1,600,11.31,3.08235,468.048,0.488881951,2.670290394,0.77815125,-1,2.77815125,1.053452373
8,0.07,300,7.54,11.0512,1096.31,1.043409439,3.039933376,0.903089987,-1.15490196,2.477121255,0.877361114
8,0.07,350,8.8,10.0085,1066.77,1.000368994,3.028070794,0.903089987,-1.15490196,2.544068044,0.944307904
8,0.07,400,10.05,9.83795,1044.49,0.992904611,3.018904286,0.903089987,-1.15490196,2.602059991,1.002299851
8,0.07,450,11.31,11.7078,1042.05,1.068475295,3.017888558,0.903089987,-1.15490196,2.653212514,1.053452373
8,0.08,300,7.54,12.7572,1085.24,1.105755364,3.035525793,0.903089987,-1.096910013,2.477121255,0.877361114
8,0.08,350,8.8,16.2489,1116.97,1.210823966,3.048041509,0.903089987,-1.096910013,2.544068044,0.944307904
8,0.08,400,10.05,11.8376,1062.44,1.073263661,3.026304413,0.903089987,-1.096910013,2.602059991,1.002299851
8,0.08,450,11.31,8.81477,1025.51,0.945210985,3.0109399,0.903089987,-1.096910013,2.653212514,1.053452373
8,0.09,300,7.54,5.78842,1149.57,0.762560035,3.060535422,0.903089987,-1.045757491,2.477121255,0.877361114
8,0.09,350,8.8,6.62903,1140.99,0.821449984,3.057281838,0.903089987,-1.045757491,2.544068044,0.944307904
8,0.09,400,10.05,10.2055,1141.3,1.008834287,3.057399817,0.903089987,-1.045757491,2.602059991,1.002299851
8,0.09,450,11.31,10.134,1110.72,1.0057809,3.045604592,0.903089987,-1.045757491,2.653212514,1.053452373
8,0.1,300,7.54,9.07921,1214.29,0.958048061,3.084322419,0.903089987,-1,2.477121255,0.877361114
8,0.1,350,8.8,6.43944,1184.94,0.808848101,3.07369636,0.903089987,-1,2.544068044,0.944307904
8,0.1,400,10.05,5.57861,1148.38,0.746526001,3.06008562,0.903089987,-1,2.602059991,1.002299851
8,0.1,450,11.31,5.14137,1126.59,0.711078859,3.051765892,0.903089987,-1,2.653212514,1.053452373
8,0.11,300,7.54,5.21065,1219.54,0.716891903,3.086196049,0.903089987,-0.958607315,2.477121255,0.877361114
8,0.11,350,8.8,6.40839,1206.39,0.806748934,3.081487729,0.903089987,-0.958607315,2.544068044,0.944307904
8,0.11,400,10.05,7.95288,1203.49,0.900524429,3.080442486,0.903089987,-0.958607315,2.602059991,1.002299851
8,0.11,450,11.31,9.74983,1195.68,0.988997043,3.077614965,0.903089987,-0.958607315,2.653212514,1.053452373